period close,Grant Kiehne,Simon Thornington,Jeff Koch,Szilvia Hegyi,Michael Van Kleeck,Spencer Singleton,Pravin Bezwada
2015-01-16,"",-0.00343653
2015-01-20,"",0.00128853
2015-01-21,"",0.0010494
2015-01-22,"",-0.00099507
2015-01-23,"",0.00125038
2015-01-26,"",0.00248581
2015-01-27,"",0.0069991
2015-01-28,"",0.00222363,0.0
2015-01-29,"",0.00394234,0.00101867
2015-01-30,"",0.01497993,-0.00183353
2015-02-02,0.01829471,-0.00170299,0.00494906
2015-02-03,0.01167734,-0.00076417,0.00438531
2015-02-04,-7.45e-05,-0.00012893,-0.00195763
2015-02-05,0.0127894,0.00750261,0.00705757
2015-02-06,-0.00942992,-0.00028413,-0.00867093
2015-02-09,-0.00498345,-0.0013531,-0.00215382
2015-02-10,0.01633343,0.00172605,0.00594387
2015-02-11,0.00152462,0.00110694,-0.00173277
2015-02-12,0.01294336,-0.00160288,0.00765146
2015-02-13,0.00494386,0.00060945,0.0036319
2015-02-17,0.0041835,0.00023384,-0.00158697
2015-02-18,0.00572173,0.00013622,0.00421602
2015-02-19,0.00090263,-2.449e-05,7.893e-05
2015-02-20,0.00908803,-0.00064501,0.00415196
2015-02-23,0.00186118,0.00045673,-0.00020536
2015-02-24,0.00770683,0.00118581,0.0026231
2015-02-25,0.0020616,-0.00015965,0.00095371
2015-02-26,0.00734495,0.00143772,-0.00066834
2015-02-27,-0.00459547,-0.00127012,-0.00010566
2015-03-02,"",0.00061515,0.00040013
2015-03-03,"",0.00112174,-0.00339225
2015-03-04,"",0.00080576,-0.00232253
2015-03-05,"",-0.00137062,0.00196869
2015-03-06,"",0.00208402,-0.01165701
2015-03-09,"",-0.00100377,0.00196015
2015-03-10,"",0.00263599,-0.00880591
2015-03-11,"",0.00016465,4.37e-06
2015-03-12,"",0.00436062,0.00617505
2015-03-13,"",0.00267468,-0.00240005
2015-03-16,"",-0.00079807,0.00605288
2015-03-17,"",-0.00069251,-0.00099576
2015-03-18,"",-0.00031418,0.01144369
2015-03-19,"",0.00214622,-0.00287497
2015-03-20,"",-0.00439427,0.00808587
2015-03-23,"",0.00149851,0.00044677
2015-03-24,"",-0.00063341,-8.098e-05
2015-03-25,"",0.00185094,-0.00852747
2015-03-26,"",-0.00210013,-0.00399489
2015-03-27,"",0.00035216,0.00171711
2015-03-30,"",-0.00081756,0.0036139
2015-03-31,"",9.014e-05,-0.00437678
2015-04-01,"","",0.00242733
2015-04-02,"","",0.00182034
2015-04-06,"","",0.00653842
2015-04-07,"","",-0.00074914
2015-04-08,"","",0.00364623
2015-04-09,"","",0.00086338
2015-04-10,"","",0.0028615
2015-04-13,"","",-0.00290233
2015-04-14,"","",0.00194815
2015-04-15,"","",0.00406777
2015-04-16,"","",-0.0006283
2015-04-17,"","",-0.00672943
2015-04-20,"","",0.00201464
2015-04-21,"","",0.00288953
2015-04-22,"","",-0.00067157
2015-04-23,"","",0.00259123
2015-04-24,"","",0.00334768
2015-04-27,"","",0.00129724
2015-04-28,"","",-0.00040168,-0.00033643
2015-04-29,"","",-0.00623209,0.00218964
2015-04-30,"","",-0.00841146,0.0,0.0003244
2015-05-01,"","","",-0.00036327,0.00030424
2015-05-04,"","","",-0.0039449,0.00093368
2015-05-05,"","","",-0.00225717,0.00068615
2015-05-06,"","","",0.00084266,-0.00098675
2015-05-07,"","","",0.00803763,0.00255885
2015-05-08,"","","",0.00539515,-0.00272512
2015-05-11,"","","",-0.00225204,0.00137456
2015-05-12,"","","",0.0001958,-0.00063486
2015-05-13,"","","",0.00453058,-0.00224273
2015-05-14,"","","",0.00395121,-0.00024873
2015-05-15,"","","",-0.00073111,-0.00075405
2015-05-18,"","","",-0.00029858,0.00292644
2015-05-19,"","","",0.00316589,0.00066572
2015-05-20,"","","",0.00299014,-0.00068938
2015-05-21,"","","",-0.0009178,-7.953e-05
2015-05-22,"","","",0.00104921,0.00076137
2015-05-26,"","","",0.0071346,0.00250536
2015-05-27,"","","",0.00169875,0.00058226
2015-05-28,"","","",0.00195263,0.00153358
2015-05-29,"","","",-0.00091233,0.00137043,-0.00244067
2015-06-01,"","","","",0.00152181,0.0021938
2015-06-02,"","","","",-0.00199189,0.00127251
2015-06-03,"","","","",-0.00028515,-0.00296229
2015-06-04,"","","","",0.00136068,-0.00357126
2015-06-05,"","","","",0.00285467,0.00809594
2015-06-08,"","","","",-0.00186003,-0.00402921
2015-06-09,"","","","",0.00218709,-0.00217431
2015-06-10,"","","","",-0.00265303,0.00131156
2015-06-11,"","","","",0.00076326,0.00090735
2015-06-12,"","","","",-0.00069618,0.00237763
2015-06-15,"","","","",0.00111619,0.00164475
2015-06-16,"","","","",0.00205103,-0.00384426
2015-06-17,"","","","",0.00081688,0.00157754
2015-06-18,"","","","",0.00062683,-0.00394083
2015-06-19,"","","","",-0.00266471,0.00923081
2015-06-22,"","","","",-0.00419549,0.00633231
2015-06-23,"","","","",-0.00127262,0.00366055
2015-06-24,"","","","",0.00018327,-0.001736
2015-06-25,"","","","",0.00413989,-0.00038892
2015-06-26,"","","","",0.00173034,0.00074364
2015-06-29,"","","","",0.00301828,0.00130721
2015-06-30,"","","","",0.00040905,0.0,0.00446841
2015-07-01,"","","","","",0.0,0.00308032
2015-07-02,"","","","","",0.0,3.813e-05
2015-07-06,"","","","","",-0.00429782,-0.00109063
2015-07-07,"","","","","",0.00090589,0.00535448
2015-07-08,"","","","","",0.00373764,-0.00026752
2015-07-09,"","","","","",0.00247574,0.0056572
2015-07-10,"","","","","",0.0054547,0.00069647
2015-07-13,"","","","","",0.00347976,0.00087555
2015-07-14,"","","","","",0.00026442,-0.00209911
2015-07-15,"","","","","",0.00445242,-0.00494129
2015-07-16,"","","","","",-0.00056375,-0.00232165
2015-07-17,"","","","","",0.00350458,0.00303961
2015-07-20,"","","","","",0.00552138,0.0010178
2015-07-21,"","","","","",-0.00251625,0.00154267
2015-07-22,"","","","","",0.01218121,-0.0021288
2015-07-23,"","","","","",-5.568e-05,0.00123051
2015-07-24,"","","","","",0.00420271,0.00558173
2015-07-27,"","","","","",0.00354669,-0.00483315
2015-07-28,"","","","","",-0.00560358,-0.0017306
2015-07-29,"","","","","",0.00375328,0.00724826
2015-07-30,"","","","","",-0.00183276,-0.00147915
2015-07-31,"","","","","",0.00218905,0.01362679
2015-08-03,"","","","","","",0.00119299
2015-08-04,"","","","","","",0.00274004
2015-08-05,"","","","","","",0.00787441
2015-08-06,"","","","","","",-0.00208791
2015-08-07,"","","","","","",-6.355e-05
2015-08-10,"","","","","","",0.00117923
2015-08-11,"","","","","","",0.00477203
2015-08-12,"","","","","","",0.00202666
2015-08-13,"","","","","","",-0.00317994
2015-08-14,"","","","","","",0.00429078
2015-08-17,"","","","","","",0.00268318
2015-08-18,"","","","","","",0.00190331
2015-08-19,"","","","","","",-0.00350739
2015-08-20,"","","","","","",-0.00191183
2015-08-21,"","","","","","",-0.00266743
2015-08-24,"","","","","","",-0.00017134
2015-08-25,"","","","","","",0.00096538
2015-08-26,"","","","","","",-0.00959481
2015-08-27,"","","","","","",0.00341391
2015-08-28,"","","","","","",0.00183881
2015-08-31,"","","","","","",0.00204227
